stat_id,stat_name,lon,lat,vs30
192,MWZ,177.527802,-38.334000,457.000000
193,MXZ,178.306595,-37.562302,597.000000
194,NAAS,176.871994,-39.468700,184.000000
195,NAMS,176.918900,-39.488400,257.000000
196,NBLC,172.731400,-43.506901,190.000000
197,NBSS,174.953796,-41.202301,200.000000
198,NCBS,173.283707,-41.270901,233.000000
199,NCDS,176.876099,-39.498402,163.000000
200,NCHS,176.896805,-39.506599,179.000000
201,NELS,173.274200,-41.287800,360.000000
202,NEWS,174.821793,-41.231998,493.000000
203,NGHS,176.914902,-39.485901,272.000000
204,NLMS,173.276794,-41.266499,276.000000
205,NMPS,175.227905,-41.574501,305.000000
206,NNBS,172.718002,-43.495399,212.000000
207,NNZ,173.379501,-41.217098,370.000000
208,NPCS,174.073395,-39.062401,299.000000
209,NSBS,168.660904,-43.996201,235.000000
210,NSPS,176.915894,-39.489601,256.000000
211,NWFS,175.233994,-41.589100,272.000000
212,NZAS,168.378403,-46.586800,309.000000
213,OAMS,170.969101,-45.099701,233.000000
214,ODZ,170.644608,-45.043999,473.000000
215,OHSS,172.660507,-43.444599,196.000000
216,OPCS,177.289200,-38.014099,229.000000
217,OPSS,173.854996,-39.450001,303.000000
218,OPWS,172.664307,-43.556198,179.000000
219,OPZ,170.597794,-45.884399,562.000000
220,ORCS,175.412598,-39.417400,303.000000
221,ORPS,167.765106,-46.286800,348.000000
222,OTKS,175.143799,-40.754902,239.000000
223,OUZ,173.596100,-35.219700,348.000000
224,OXZ,172.038300,-43.325901,429.000000
225,PAPS,175.005005,-40.914299,309.000000
226,PARS,172.750702,-43.567902,606.000000
227,PEEC,171.233994,-43.923901,244.000000
228,PFAS,174.846100,-41.138500,314.000000
229,PGFS,176.611801,-40.302200,235.000000
230,PGMS,174.879395,-41.224499,210.000000
231,PHFS,174.904495,-41.252602,500.000000
232,PHHS,174.904297,-41.252102,600.000000
